latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
18.11288,-91.964,305.37,1.46,n,N,2024-04-18,2024,4,7,0,Bajo
25.39719,-106.12756,367.0,9.23,h,D,2024-04-15,2024,4,19,1,Alto
18.68735,-103.61523,331.15,7.95,n,D,2023-05-27,2023,5,20,1,Alto
18.62836,-101.34514,325.68,7.23,n,N,2024-05-15,2024,5,8,0,Bajo
18.70984,-91.08877,341.61,12.57,n,D,2023-05-04,2023,5,19,1,Alto
20.4579,-101.39025,335.05,4.0,l,D,2023-01-06,2023,1,19,2,Medio
20.86742,-90.15993,345.54,6.54,n,D,2024-05-28,2024,5,19,1,Alto
22.39768,-104.75268,339.33,25.44,l,D,2023-06-08,2023,6,20,2,Medio
22.52156,-103.28745,339.62,6.29,n,D,2023-04-30,2023,4,20,2,Medio
17.3632,-95.68928,348.61,6.27,n,D,2024-07-06,2024,7,20,1,Alto
27.58656,-108.30749,320.85,2.31,n,N,2025-03-20,2025,3,8,0,Bajo
18.48645,-90.71954,338.56,7.77,n,D,2025-05-16,2025,5,19,1,Alto
23.23203,-104.85325,310.71,1.04,n,N,2025-05-22,2025,5,9,0,Bajo
17.87702,-92.49293,308.8,1.08,n,N,2024-07-04,2024,7,8,0,Bajo
22.47071,-103.3668,307.55,5.12,n,N,2025-04-30,2025,4,7,0,Bajo
19.67129,-103.37553,317.11,2.53,n,N,2024-05-06,2024,5,8,0,Bajo
16.77555,-95.77262,333.72,2.9,n,D,2023-04-08,2023,4,19,1,Alto
19.81693,-96.47366,343.87,15.46,n,D,2023-06-01,2023,6,19,1,Alto
26.98665,-108.41451,342.95,11.73,l,D,2025-04-16,2025,4,20,2,Medio
21.42863,-98.36031,336.87,6.07,n,D,2023-08-22,2023,8,20,1,Alto
29.82743,-108.41275,331.67,9.52,n,D,2025-03-04,2025,3,20,2,Medio
19.17022,-88.17377,339.72,4.93,n,D,2025-10-01,2025,10,19,1,Alto
17.92491,-93.63241,341.05,3.58,n,N,2025-10-25,2025,10,7,0,Bajo
16.90776,-91.30164,336.79,24.95,n,D,2023-08-13,2023,8,19,1,Alto
30.6928,-109.20771,310.59,1.51,n,N,2025-04-27,2025,4,8,0,Bajo
28.26972,-108.68576,367.0,17.05,h,D,2025-05-10,2025,5,20,1,Alto
20.10244,-103.78921,338.33,4.32,n,N,2023-04-02,2023,4,8,0,Bajo
16.65782,-99.16678,337.57,3.73,n,D,2024-04-12,2024,4,20,1,Alto
20.97844,-105.28034,333.57,4.64,l,D,2024-05-08,2024,5,20,2,Medio
26.42808,-107.57149,311.21,1.64,n,N,2024-05-27,2024,5,8,0,Bajo
16.91272,-95.0181,333.47,3.86,l,D,2024-05-16,2024,5,19,2,Medio
19.36685,-90.42118,349.35,8.66,n,D,2024-05-27,2024,5,19,1,Alto
20.3645,-103.45727,311.1,3.02,n,N,2023-06-08,2023,6,9,0,Bajo
18.20365,-94.01041,305.06,4.36,n,N,2023-12-10,2023,12,7,0,Bajo
17.89425,-93.18335,342.27,29.03,n,D,2025-10-19,2025,10,20,1,Alto
20.78499,-104.42953,333.04,8.36,n,D,2023-03-02,2023,3,19,2,Medio
20.64153,-104.35474,341.49,29.63,n,N,2023-06-08,2023,6,9,0,Bajo
22.76919,-98.91852,338.66,2.83,n,D,2023-02-07,2023,2,19,1,Alto
18.58671,-92.51844,310.15,2.69,n,N,2025-07-18,2025,7,8,0,Bajo
20.02683,-104.95254,355.53,7.62,n,D,2023-05-12,2023,5,20,1,Alto
24.02304,-99.10484,320.77,2.61,n,N,2024-06-11,2024,6,8,0,Bajo
19.78089,-101.53181,313.52,1.59,n,N,2024-05-09,2024,5,9,0,Bajo
17.91818,-100.16299,339.74,5.22,n,D,2024-05-06,2024,5,19,1,Alto
18.17292,-92.03623,308.18,0.87,n,N,2025-05-06,2025,5,7,0,Bajo
19.59389,-97.57063,351.25,10.66,n,D,2025-07-16,2025,7,19,1,Alto
25.44873,-99.89851,332.01,1.98,n,D,2024-01-28,2024,1,20,2,Medio
17.64611,-100.06455,343.75,7.13,n,D,2025-04-19,2025,4,19,1,Alto
22.82493,-99.35625,313.25,1.54,n,N,2025-05-06,2025,5,7,0,Bajo
29.64757,-108.06492,350.76,3.63,n,D,2025-05-10,2025,5,20,2,Medio
17.71767,-93.15332,303.57,0.64,n,N,2025-07-12,2025,7,8,0,Bajo
30.79446,-116.01391,335.73,2.05,l,D,2025-08-19,2025,8,21,2,Medio
19.52158,-89.71802,345.99,9.81,n,D,2023-04-14,2023,4,19,1,Alto
20.94442,-89.66322,303.16,0.78,n,N,2025-03-06,2025,3,8,0,Bajo
23.15226,-104.43066,302.29,1.18,n,N,2023-06-21,2023,6,8,0,Bajo
22.47246,-100.37953,303.05,0.89,n,N,2025-12-14,2025,12,8,0,Bajo
19.22582,-103.14282,337.47,5.85,n,N,2024-05-10,2024,5,8,0,Bajo
19.97392,-102.68604,341.76,5.34,n,D,2025-02-25,2025,2,20,1,Alto
26.55115,-107.38273,298.21,2.26,n,N,2024-05-07,2024,5,7,0,Bajo
26.43965,-106.60504,315.62,2.21,n,N,2024-04-13,2024,4,8,0,Bajo
22.75372,-104.6143,305.93,0.98,n,N,2024-06-09,2024,6,9,0,Bajo
29.70976,-108.05723,336.72,5.78,l,D,2025-05-07,2025,5,20,2,Medio
28.14087,-108.61287,354.65,8.54,n,D,2025-03-19,2025,3,20,2,Medio
17.89634,-92.48616,295.03,1.31,n,N,2025-04-01,2025,4,8,0,Bajo
20.5777,-101.1746,308.85,2.33,n,N,2023-01-16,2023,1,8,0,Bajo
17.27743,-94.63062,340.91,4.37,n,D,2023-06-06,2023,6,19,1,Alto
16.49944,-94.35744,342.7,35.55,n,D,2024-05-10,2024,5,19,1,Alto
18.31118,-90.87617,333.11,4.53,l,D,2024-04-27,2024,4,18,2,Medio
16.61419,-92.83138,332.14,3.9,l,D,2024-04-11,2024,4,18,2,Medio
19.70613,-98.92442,343.43,25.96,n,D,2024-12-21,2024,12,19,1,Alto
19.59019,-100.86928,336.34,2.65,l,D,2024-05-07,2024,5,19,2,Medio
28.13395,-107.61563,367.0,214.5,h,D,2025-04-16,2025,4,20,1,Alto
16.52931,-92.59869,337.1,2.91,n,N,2024-04-28,2024,4,7,0,Bajo
17.59457,-93.29654,312.75,0.83,n,N,2023-06-17,2023,6,7,0,Bajo
20.73698,-89.73869,340.99,5.91,n,D,2024-02-17,2024,2,19,1,Alto
26.99868,-109.63613,352.46,8.52,n,D,2023-06-10,2023,6,21,2,Medio
18.78507,-90.58681,306.83,0.81,n,N,2024-04-28,2024,4,7,0,Bajo
18.48061,-88.8219,330.13,1.52,n,D,2023-02-13,2023,2,19,1,Alto
17.90031,-92.07598,348.41,7.76,n,D,2024-04-20,2024,4,19,1,Alto
18.32323,-95.24966,345.68,7.07,n,D,2025-04-19,2025,4,19,1,Alto
19.07307,-100.55576,367.0,9.71,h,D,2025-06-01,2025,6,20,1,Alto
16.25031,-93.07323,342.02,4.63,n,D,2024-05-11,2024,5,19,1,Alto
17.1256,-97.13177,322.26,1.6,n,N,2023-04-04,2023,4,7,0,Bajo
19.47029,-89.70523,349.86,25.83,n,D,2023-04-08,2023,4,19,1,Alto
19.49841,-104.91479,337.49,3.98,l,D,2024-05-19,2024,5,20,2,Medio
18.6145,-95.50911,329.99,4.21,n,N,2024-03-26,2024,3,7,0,Bajo
22.65868,-104.798,337.82,3.66,n,D,2023-05-22,2023,5,20,2,Medio
18.80849,-101.50459,337.97,2.65,n,D,2024-05-24,2024,5,20,1,Alto
22.44582,-105.67974,300.49,0.82,n,N,2023-05-03,2023,5,8,0,Bajo
28.73841,-106.96255,367.0,61.97,l,D,2023-04-13,2023,4,21,2,Medio
18.14819,-90.6134,341.06,8.18,l,D,2025-05-21,2025,5,19,2,Medio
16.37217,-92.96442,345.72,11.94,n,D,2025-05-08,2025,5,19,1,Alto
19.74387,-88.65453,346.72,6.3,n,D,2024-05-03,2024,5,18,1,Alto
26.9634,-108.40216,336.99,6.32,n,D,2025-04-15,2025,4,20,2,Medio
18.04873,-100.269,319.92,3.51,n,N,2023-03-25,2023,3,7,0,Bajo
19.95336,-90.15465,337.47,11.5,n,D,2024-04-10,2024,4,19,1,Alto
27.79637,-108.54723,306.92,1.11,n,N,2024-06-16,2024,6,8,0,Bajo
20.33708,-104.88451,331.73,6.98,n,D,2025-06-10,2025,6,19,2,Medio
24.35967,-106.08118,347.14,12.81,n,D,2025-05-16,2025,5,20,2,Medio
18.75149,-98.73577,298.42,1.08,n,N,2024-01-26,2024,1,8,0,Bajo
17.95602,-94.33211,367.0,9.7,h,D,2024-06-09,2024,6,18,1,Alto
19.13733,-104.42505,346.28,6.97,n,D,2025-02-10,2025,2,20,1,Alto
